Word,Start Time,End Time,Confidence
उसके,0.0,0.36,0.465
पीछी,0.36,0.78,0.488
"है,",0.78,0.96,0.726
उसके,1.16,1.22,0.861
काम,1.22,1.56,0.873
का,1.56,1.66,0.575
वादी,1.66,1.96,0.558
"है,",1.96,2.22,0.85
इसलिए,2.4,2.56,0.685
उसका,2.56,2.9,0.9
सरे,2.9,3.1,0.574
लिए,3.1,3.26,0.613
किसकाथ,3.26,3.62,0.405
नहीं,3.62,3.8,0.786
हो,3.8,3.9,0.92
पाता,3.9,4.3,0.718
है.,4.3,4.34,0.9
और,4.46,4.62,0.533
तो,4.62,4.72,0.614
बाबाजी,4.72,5.28,0.679
कुछ,5.28,5.58,0.916
नहीं,5.58,5.9,0.836
है.,5.9,6.0,0.547
आपको,6.0,7.32,0.478
प्रभाद,7.32,7.34,0.42
"करें,",7.34,7.36,0.443
आपको,7.36,7.38,0.484
प्रभाद,7.38,7.4,0.78
"करें,",7.4,7.42,0.91
आपको,7.42,7.44,0.708
प्रभाद,7.44,7.46,0.925
"करें,",7.46,7.48,0.945
आपको,7.48,7.5,0.747
प्रभाद,7.5,7.52,0.941
"करें,",7.52,7.54,0.948
आपको,7.54,7.56,0.772
प्रभाद,7.56,7.58,0.947
"करें,",7.58,7.6,0.95
आपको,7.6,7.72,0.792
प्रभाद,7.72,7.78,0.951
"करें,",7.78,7.8,0.95
आपको,7.8,8.42,0.837
प्रभाद,8.42,8.5,0.953
"करें,",8.5,9.24,0.952
आपको,9.24,9.78,0.853
प्रभाद,9.78,9.8,0.954
"करें,",9.8,9.82,0.952
आपको,9.82,9.88,0.869
प्रभाद,9.88,9.9,0.955
"करें,",9.9,9.92,0.954
आपको,11.5,11.52,0.884
प्रभाद,11.52,11.54,0.957
"करें,",11.54,11.56,0.955
आपको,11.64,11.66,0.882
प्रभाद,11.66,11.9,0.958
"करें,",11.9,11.92,0.956
आ,11.96,11.98,0.734
