Word,Start Time,End Time,Confidence
उसे,0.0,1.38,0.537
काम,1.38,1.72,0.803
करवाती,1.72,2.14,0.794
है,2.14,2.48,0.882
उसका,2.48,3.16,0.589
नहीं,3.16,4.22,0.501
हो,4.22,4.3,0.929
पता,4.3,4.62,0.882
है,4.62,4.94,0.969
और,4.94,5.16,0.81
फिर,5.16,5.32,0.749
वो,5.32,5.42,0.723
बच्ची,5.42,5.92,0.87
आज,5.92,7.04,0.472
तक,7.04,7.08,0.434
मैं,7.08,7.38,0.597
यह,7.38,7.64,0.799
कहना,7.64,7.76,0.778
चाहता,7.76,7.78,0.787
हूँ,7.78,8.08,0.991
की,8.08,8.1,0.717
मेरे,8.1,8.26,0.859
दोस्तों,8.26,8.78,0.989
आगे,8.78,9.42,0.705
अठारह,9.42,9.68,0.962
की,9.68,9.84,0.63
बात,9.84,10.08,0.992
करे,10.08,10.46,0.979
बच्ची,10.46,11.1,0.761
आगे,11.1,11.6,0.896
अठारह,11.6,11.72,0.996
की,11.72,11.82,0.912
बात,11.82,12.04,0.999
करे,12.04,12.48,0.992
