Word,Start Time,End Time,Confidence
उसे,0.0,1.34,0.465
काम,1.34,1.66,0.76
करवाती,1.66,2.1,0.781
है,2.1,2.4,0.891
उसका,2.4,3.1,0.555
निकास,3.1,3.9,0.552
नहीं,3.9,4.24,0.84
हो,4.24,4.26,0.978
पता,4.26,4.54,0.914
है,4.54,4.84,0.972
और,4.84,5.02,0.685
फिर,5.02,5.2,0.614
वो,5.2,5.26,0.716
बेटी,5.26,5.76,0.902
कुछ,5.76,6.02,0.792
नम्बर,6.02,6.16,0.848
ऐसी,6.16,6.36,0.654
आता,6.36,6.86,0.58
में,6.86,7.0,0.64
यह,7.0,7.38,0.788
कहूँगा,7.38,7.76,0.842
की,7.76,7.9,0.75
मेरे,7.9,8.06,0.923
दोस्तों,8.06,8.8,0.995
साढे,8.8,9.16,0.616
अठारह,9.16,9.44,0.969
की,9.44,9.66,0.69
बात,9.66,9.84,0.993
करे,9.84,10.18,0.986
बेटी,10.18,10.92,0.847
साढे,10.92,11.22,0.875
अठारह,11.22,11.42,0.997
की,11.42,11.56,0.912
बात,11.56,11.74,0.998
करे,11.74,12.08,0.992
