Word,Start Time,End Time,Confidence
उसे,0.0,1.22,0.504
काम,1.22,1.5,0.825
करवाती,1.5,1.92,0.786
है,1.92,2.1,0.882
इसलिए,2.1,2.54,0.745
उसका,2.54,2.88,0.882
सारे,2.88,3.14,0.671
अधिक,3.14,3.26,0.927
विकास,3.26,3.56,0.952
नहीं,3.56,3.88,0.912
हो,3.88,3.9,0.987
पता,3.9,4.14,0.919
है,4.14,4.38,0.987
और,4.38,4.6,0.914
फिर,4.6,4.74,0.972
वो,4.74,4.82,0.879
बच्ची,4.82,5.26,0.859
आता,5.26,6.28,0.581
में,6.28,6.42,0.693
यह,6.42,6.76,0.833
कहा,6.76,6.86,0.504
की,6.86,7.12,0.698
मेरे,7.12,7.34,0.923
दोस्तों,7.34,8.1,0.994
साढे,8.1,8.36,0.772
अठारह,8.36,8.62,0.979
की,8.62,8.82,0.709
बात,8.82,9.0,0.994
करे,9.0,9.32,0.978
बच्ची,9.32,9.8,0.791
साढे,9.8,10.22,0.88
अठारह,10.22,10.48,0.997
की,10.48,10.52,0.923
बात,10.52,10.78,0.998
करे,10.78,11.02,0.989
