Word,Start Time,End Time,Confidence
इसके,0.0,1.2,0.467
काम,1.2,1.48,0.777
का,1.48,1.62,0.776
वासी,1.62,1.84,0.817
है,1.84,2.16,0.922
इसलिए,2.16,2.46,0.728
उसका,2.46,2.74,0.835
सरे,2.74,3.0,0.507
अधिक,3.0,3.22,0.89
विकास,3.22,3.48,0.964
नहीं,3.48,3.74,0.885
हो,3.74,3.76,0.987
पता,3.76,4.04,0.9
है,4.04,4.28,0.986
और,4.28,4.46,0.881
फिर,4.46,4.64,0.697
वो,4.64,4.72,0.68
बच्ची,4.72,5.12,0.903
कुछ,5.12,5.4,0.8
नम्बर,5.4,5.7,0.78
ऐसी,5.7,5.74,0.565
आता,5.74,6.12,0.658
में,6.12,6.26,0.65
यह,6.26,6.58,0.811
कहना,6.58,6.8,0.61
था,6.8,6.92,0.789
की,6.92,7.04,0.774
मेरे,7.04,7.2,0.938
दोस्तों,7.2,7.78,0.993
साढे,7.78,8.14,0.585
अठारह,8.14,8.36,0.972
की,8.36,8.62,0.801
बात,8.62,8.82,0.991
करे,8.82,9.1,0.981
बच्ची,9.1,9.54,0.785
साढे,9.54,10.0,0.778
अठारह,10.0,10.16,0.997
की,10.16,10.3,0.938
बात,10.3,10.54,0.998
करे,10.54,10.86,0.991
बच्चे,10.86,11.28,0.581
