Word,Start Time,End Time,Confidence
उसे,0.0,1.26,0.534
काम,1.26,1.56,0.825
करवाती,1.56,1.98,0.794
है,1.98,2.24,0.88
उसका,2.24,2.98,0.545
नहीं,2.98,3.88,0.467
हो,3.88,3.98,0.916
पता,3.98,4.34,0.886
है,4.34,4.58,0.952
और,4.58,4.78,0.765
फिर,4.78,4.9,0.889
वो,4.9,5.02,0.816
बच्ची,5.02,5.46,0.898
आता,5.46,6.5,0.699
नहीं,6.5,6.76,0.896
है,6.76,6.78,0.956
कमजोर,6.78,7.18,0.556
के,7.18,7.4,0.274
बात,7.4,9.34,0.747
करे,9.34,9.6,0.919
बच्ची,9.6,10.16,0.712
बात,10.16,11.14,0.614
करे,11.14,11.4,0.937
