Word,Start Time,End Time,Confidence
उसे,0.0,0.28,0.409
बीच,0.28,0.66,0.583
दी,0.66,0.76,0.357
"है,",0.76,0.94,0.574
उसे,1.1,1.2,0.921
काम,1.2,1.44,0.855
का,1.44,1.58,0.781
वादी,1.58,1.84,0.613
"है,",1.84,2.06,0.892
इसके,2.22,2.4,0.496
लिए,2.4,2.52,0.781
उसका,2.52,2.74,0.87
सरे,2.74,2.94,0.556
दीच,2.94,3.16,0.409
कारण,3.16,3.44,0.331
नहीं,3.44,3.62,0.62
हो,3.62,3.74,0.926
पाता,3.74,4.1,0.831
है.,4.1,4.14,0.904
वो,4.14,4.36,0.347
तुम्हां,4.36,4.62,0.545
बाईची,4.62,5.02,0.683
कुछ,5.02,5.32,0.89
नहीं,5.32,5.6,0.777
है.,5.6,5.68,0.627
पर,6.0,7.2,0.252
परवार्ड,7.2,7.22,0.298
करने,7.22,7.24,0.387
के,7.24,7.26,0.707
लिए,7.26,7.28,0.867
पर,7.28,7.62,0.25
परवार्ड,7.62,7.64,0.485
करने,7.64,7.8,0.63
के,7.8,7.82,0.751
लिए,7.82,7.84,0.951
परवार्ड,7.84,8.0,0.701
करने,8.0,8.02,0.783
के,8.02,8.04,0.807
लिए,8.04,8.06,0.943
परवार्ड,8.06,8.08,0.824
करने,8.08,8.1,0.876
के,8.1,8.12,0.87
लिए,8.12,8.14,0.943
परवार्ड,8.14,9.34,0.879
करने,9.34,10.42,0.897
के,10.42,10.44,0.879
लिए,10.44,10.48,0.94
परवार्ड,10.48,11.3,0.91
करने,11.3,11.32,0.906
के,11.32,11.34,0.886
लिए,11.34,11.36,0.944
परवार्ड,11.36,11.38,0.929
करने,11.38,11.4,0.91
के,11.4,11.42,0.886
लिए,11.42,11.44,0.947
परवार्ड,11.44,11.46,0.94
करने,11.46,11.48,0.913
के,11.48,11.5,0.886
लिए,11.5,11.52,0.949
परवार्ड,11.52,11.54,0.948
करने,11.54,11.56,0.916
के,11.56,11.58,0.889
लिए,11.58,11.6,0.95
परवार्ड,11.6,11.62,0.952
करने,11.62,11.64,0.918
के,11.64,11.66,0.891
लिए,11.66,11.68,0.951
परवार,11.68,35.98,0.955
