Word,Start Time,End Time,Confidence
ये,0.0,0.34,0.304
बीच,0.34,0.68,0.702
दी,0.68,0.8,0.419
"है,",0.8,1.0,0.483
उसे,1.12,1.3,0.72
काम,1.3,1.62,0.779
करवा,1.62,1.9,0.743
दी,1.9,2.06,0.615
"है,",2.06,2.34,0.876
इसके,2.44,2.7,0.496
लिए,2.7,2.8,0.704
उसका,2.8,3.06,0.827
सरे,3.06,3.28,0.705
दिक्ष,3.28,3.54,0.565
काटली,3.54,4.0,0.332
हो,4.0,4.16,0.894
पाता,4.16,4.52,0.825
है,4.52,4.56,0.92
और,4.56,4.9,0.653
तो,4.9,4.98,0.614
वो,4.98,5.14,0.755
बैची,5.14,5.58,0.739
कुछ,5.58,5.94,0.865
नहीं,5.94,6.24,0.779
है।,6.24,6.36,0.602
आता,6.36,6.64,0.481
मैं,6.64,6.98,0.577
याई,6.98,7.0,0.459
कहा,7.0,7.2,0.481
था,7.2,7.3,0.362
कि,7.3,7.56,0.565
मेरे,7.56,7.76,0.787
चोड़सों,7.76,8.44,0.699
आगे,8.44,8.86,0.626
अध्भाद,8.86,9.16,0.506
के,9.16,9.34,0.698
बात,9.34,9.64,0.796
"करें,",9.64,9.86,0.919
जो,9.92,10.12,0.44
बेची,10.12,10.36,0.667
खिसागे,10.36,10.74,0.533
अध्भाद,10.74,10.96,0.914
के,10.96,11.2,0.858
बात,11.2,11.42,0.95
"करें,",11.42,11.82,0.935
पिछें,11.9,12.32,0.532
तरह,12.32,12.68,0.357
देखें.,12.68,12.7,0.451
